Date,MMM Adj. Close,MMM P/S (LTM),MMM P/FCF (LTM),MMM P/E (LTM),MMM Debt/Equity (LTM),actual_returns,ps_sma_fast,ps_sma_slow,ps_ema_fast,ps_ema_slow,pfcf_sma_fast,pfcf_sma_slow,pfcf_ema_fast,pfcf_ema_slow,pe_sma_fast,pe_sma_slow,pe_ema_fast,pe_ema_slow,ps_RSI,ps_bb_upper,ps_bb_mid,ps_bb_lower,pfcf_RSI,pfcf_bb_upper,pfcf_bb_mid,pfcf_bb_lower,pe_RSI,pe_bb_upper,pe_bb_mid,pe_bb_lower,ps_Signal_sma,ps_Signal_ema,ps_Signal_bb_rsi,pfcf_Signal_sma,pfcf_Signal_ema,pfcf_Signal_bb_rsi,pe_Signal_sma,pe_Signal_ema,pe_Signal_bb_rsi,ps_Entry/Exit_sma,ps_Entry/Exit_ema,pfcf_Entry/Exit_sma,pfcf_Entry/Exit_ema,pe_Entry/Exit_sma,pe_Entry/Exit_ema,ps_Position_sma,ps_Position_ema,pfcf_Position_sma,pfcf_Position_ema,pe_Position_sma,pe_Position_ema,ps_Entry/Exit Position_sma,ps_Entry/Exit Position_ema,pfcf_Entry/Exit Position_sma,pfcf_Entry/Exit Position_ema,pe_Entry/Exit Position_sma,pe_Entry/Exit Position_ema,ps_Portfolio Holdings_sma,ps_Portfolio Holdings_ema,pfcf_Portfolio Holdings_sma,pfcf_Portfolio Holdings_ema,pe_Portfolio Holdings_sma,pe_Portfolio Holdings_ema,ps_Portfolio Cash_sma,ps_Portfolio Cash_ema,pfcf_Portfolio Cash_sma,pfcf_Portfolio Cash_ema,pe_Portfolio Cash_sma,pe_Portfolio Cash_ema,ps_Portfolio Total_sma,ps_Portfolio Total_ema,pfcf_Portfolio Total_sma,pfcf_Portfolio Total_ema,pe_Portfolio Total_sma,pe_Portfolio Total_ema,ps_Portfolio Daily Returns_sma,ps_Portfolio Daily Returns_ema,pfcf_Portfolio Daily Returns_sma,pfcf_Portfolio Daily Returns_ema,pe_Portfolio Daily Returns_sma,pe_Portfolio Daily Returns_ema,ps_Portfolio Cumulative Returns_sma,ps_Portfolio Cumulative Returns_ema,pfcf_Portfolio Cumulative Returns_sma,pfcf_Portfolio Cumulative Returns_ema,pe_Portfolio Cumulative Returns_sma,pe_Portfolio Cumulative Returns_ema
2019-01-02,128.423190438465,3.388836587259982,24.512285808641977,25.6385020884162,,,,,3.388836587259982,3.388836587259982,,,24.512285808641977,24.512285808641977,,,25.6385020884162,25.6385020884162,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-03,123.587564676472,3.261233889881134,23.58930421671076,24.673114133289,,-0.0376538360827443,,,3.365636096827464,3.386309801173272,,,24.34447097374539,24.494008945435414,,,25.4629770056658,25.61938549524536,,,,,,,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,500.0,0.0,500.0,0.0,500.0,0.0,500.0,0.0,500.0,0.0,500.0,0.0,61793.782338236,0.0,61793.782338236,0.0,61793.782338236,100000.0,38206.217661764,100000.0,38206.217661764,100000.0,38206.217661764,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,,,,,,,,,,,,
2019-01-04,128.672033488804,3.3954030682109115,24.55978277513228,25.6881813016916,,0.0411406181976492,,,3.371048273442636,3.3864898658670866,,,24.383618573997552,24.495311397508623,,,25.50392324130685,25.62074778844232,,,,,,,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64336.016744402004,0.0,64336.016744402004,0.0,64336.016744402004,100000.0,38206.217661764,100000.0,38206.217661764,100000.0,38206.217661764,100000.0,102542.23440616601,100000.0,102542.23440616601,100000.0,102542.23440616601,0.0,0.025422344061660107,0.0,0.025422344061660107,0.0,0.025422344061660107,0.0,0.025422344061660107,0.0,0.025422344061660107,0.0,0.025422344061660107
2019-01-07,128.376112023536,3.3875942800365744,24.503299895943563,25.629103318212422,,-0.0022998118335773,,,3.374056638277897,3.386511735454601,,,24.405378814351373,24.49546958559644,,,25.526683255289683,25.620913244477364,,,,,,,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64188.056011768,0.0,64188.056011768,0.0,64188.056011768,100000.0,38206.217661764,100000.0,38206.217661764,100000.0,38206.217661764,100000.0,102394.273673532,100000.0,102394.273673532,100000.0,102394.273673532,0.0,-0.00144292479572794,0.0,-0.00144292479572794,0.0,-0.00144292479572794,0.0,0.02394273673531999,0.0,0.02394273673531999,0.0,0.02394273673531999
2019-01-08,128.91415105129602,3.401792076683938,24.605996039682537,25.73651783337754,,0.0041911148365467,,,3.379099445260813,3.3868143164690427,,,24.44185467350249,24.497658228251613,,,25.5648349967602,25.623202444257565,,,,,,,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64457.07552564801,0.0,64457.07552564801,0.0,64457.07552564801,100000.0,38206.217661764,100000.0,38206.217661764,100000.0,38206.217661764,100000.0,102663.29318741201,100000.0,102663.29318741201,100000.0,102663.29318741201,0.0,0.0026272906113649075,0.0,0.0026272906113649075,0.0,0.0026272906113649075,0.0,0.02663293187412008,0.0,0.02663293187412008,0.0,0.02663293187412008
2019-01-09,129.33113129781,3.412795369094788,24.685585551146385,25.819764082699685,,0.0032345575959931,,,3.38522597686699,3.387328792758661,,,24.48616937852865,24.501379561378243,,,25.61118573965829,25.627094753929686,,,,,,,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64665.565648905,0.0,64665.565648905,0.0,64665.565648905,100000.0,38206.217661764,100000.0,38206.217661764,100000.0,38206.217661764,100000.0,102871.78331066901,100000.0,102871.78331066901,100000.0,102871.78331066901,0.0,0.00203081468345645,0.0,0.00203081468345645,0.0,0.00203081468345645,0.0,0.02871783310668996,0.0,0.02871783310668996,0.0,0.02871783310668996
2019-01-10,130.20544471792,3.4358667886619934,24.85246678483245,25.99431266995829,,0.0067602704108162,,,3.394433397193354,3.38828994119239,,,24.55276890694752,24.50833178362486,,,25.680845181531016,25.634366395831243,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-500.0,0.0,-500.0,0.0,-500.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,103308.940020724,100000.0,103308.940020724,100000.0,103308.940020724,100000.0,103308.940020724,100000.0,103308.940020724,100000.0,103308.940020724,0.0,0.004249529812609509,0.0,0.004249529812609509,0.0,0.004249529812609509,0.0,0.03308940020723994,0.0,0.03308940020723994,0.0,0.03308940020723994
2019-01-11,129.270601907187,3.411198116976532,24.67403223500882,25.8076799497782,,-0.0071797520661156,,,3.3974815280630226,3.3887435684356406,,,24.574816784776846,24.511612980681967,,,25.703906048485045,25.63779834739455,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,103308.940020724,100000.0,103308.940020724,100000.0,103308.940020724,100000.0,103308.940020724,100000.0,103308.940020724,100000.0,103308.940020724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03308940020723994,0.0,0.03308940020723994,0.0,0.03308940020723994
2019-01-14,129.243699955799,3.4104882271258763,24.6688974276896,25.80230922388159,,-0.0002081057177045,,,3.3998463824380867,3.389174155736437,,,24.591922356215527,24.514727524187062,,,25.72179753492078,25.641055988513106,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,103308.940020724,100000.0,103308.940020724,100000.0,103308.940020724,100000.0,103308.940020724,100000.0,103308.940020724,100000.0,103308.940020724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03308940020723994,0.0,0.03308940020723994,0.0,0.03308940020723994
2019-01-15,127.071367381218,3.3531646231636696,24.25426174735449,25.36862311891396,,-0.0168080345527398,3.38583730270954,,3.391358789842738,3.388461095685491,24.490591248214287,,24.53052951824079,24.509569786031967,25.61581077202185,,25.65758400473772,25.635661278224013,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,103308.940020724,100000.0,103308.940020724,100000.0,103308.940020724,100000.0,103308.940020724,100000.0,103308.940020724,100000.0,103308.940020724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03308940020723994,0.0,0.03308940020723994,0.0,0.03308940020723994
